0.25835,0.025862,0.034483,0.93966,0.017241,0.1,0.051724,0
0.26771,0.034483,0.025862,0.93966,0.025862,0.1,0.047414,0
0.28583,0.043103,0.017241,0.93966,0.034483,0.1,0.043103,0
0.30078,0.051724,0.017241,0.93103,0.043103,0.1,0.047414,0
0.31479,0.11207,0.017241,0.31034,0.66379,0.2,0.33621,0
0.3252,0.11207,0.017241,0.31034,0.66379,0.2,0.33621,0
0.34419,0.11207,0.017241,0.31034,0.66379,0.2,0.33621,0
0.38069,0.18966,0.017241,0.31034,0.66379,0.3,0.34444,0
0.4313,0.2069,0.017241,0.31034,0.66379,0.3,0.33549,0
0.49778,0.66379,0.017241,0.30172,0.67241,0.2,0.3577,0
0.56213,0.68103,0.017241,0.2931,0.68103,0.2,0.36436,0
0.62126,0.68966,0.017241,0.2931,0.68103,0.1,0.36638,0
0.65325,0.68103,0.017241,0.30172,0.67241,0.1,0.36207,0
0.66352,0.67241,0.017241,0.31034,0.66379,0.1,0.35776,0
0.66093,0.67241,0.017241,0.31034,0.66379,0.1,0.35776,0
0.6477,0.67241,0.017241,0.31034,0.66379,0.1,0.35776,0
0.62928,0.67241,0.017241,0.31034,0.66379,0.1,0.35776,0
0.59988,0.67241,0.017241,0.31034,0.66379,0.1,0.35776,0
0.5588,0.67241,0,0.31034,0.68103,0.1,0.34251,0
0.50343,0.67241,0,0.31034,0.68103,0.1,0.34251,0
0.43457,0.26724,0,0.31034,0.68103,0.3,0.34872,0
0.38547,0.23276,0,0.31034,0.68103,0.3,0.33333,0
0.35203,0.18966,0,0.31034,0.68103,0.2,0.36599,0
0.33001,0.18103,0,0.31034,0.68103,0.2,0.35345,0
0.31954,0.13793,0.017241,0.31034,0.66379,0.3,0.37446,0
0.3225,0.14655,0.017241,0.30172,0.67241,0.3,0.39351,0
0.32863,0.16379,0.017241,0.2931,0.68103,0.3,0.40926,0
0.33217,0.17241,0.017241,0.2931,0.68103,0.3,0.40819,0
0.33382,0.16379,0.017241,0.30172,0.67241,0.3,0.39247,0
0.33439,0.15517,0.017241,0.31034,0.66379,0.3,0.37548,0
0.33092,0.14655,0.017241,0.31034,0.66379,0.3,0.35953,0
0.32385,0.12931,0.017241,0.31034,0.66379,0.3,0.33793,1
0.31415,0.10345,0.017241,0.31897,0.65517,0.3,0.27802,0
0.303,0.086207,0.017241,0.62931,0.34483,0.2,0.19828,0
0.29485,0.086207,0.017241,0.62931,0.34483,0.2,0.19828,0
0.28886,0.094828,0.017241,0.62069,0.35345,0.2,0.21473,0
0.28751,0.12069,0,0.61207,0.37931,0.1,0.19828,0
0.28479,0.12069,0,0.61207,0.37931,0.1,0.19828,0
0.27994,0.12069,0,0.61207,0.37931,0.1,0.19828,1
0.28115,0.12069,0,0.61207,0.37931,0.1,0.19828,0
0.28809,0.12069,0,0.61207,0.37931,0.1,0.19828,0
0.2926,0.12069,0,0.61207,0.37931,0.1,0.19828,0
0.29846,0.12069,0,0.61207,0.37931,0.1,0.19828,0
0.31725,0.14655,0,0.60345,0.38793,0.1,0.20994,1
0.33957,0.17241,0,0.59483,0.39655,0.1,0.21853,0
0.35911,0.2069,0.0086207,0.58621,0.39655,0.2,0.2403,0
0.37258,0.21552,0.017241,0.57759,0.39655,0.2,0.25069,0
0.378,0.25862,0.017241,0.57759,0.39655,0.2,0.23879,0
0.37611,0.26724,0.017241,0.57759,0.39655,0.2,0.23526,0
0.36715,0.25862,0.017241,0.59483,0.37931,0.2,0.21983,0
0.34958,0.25862,0.017241,0.59483,0.37931,0.2,0.21983,0
0.32711,0.12069,0.017241,0.86207,0.11207,0.1,0.081897,0
0.31324,0.11207,0.025862,0.86207,0.10345,0.1,0.086207,0
0.30287,0.10345,0.034483,0.86207,0.094828,0.1,0.090517,0
0.29203,0.017241,0.68103,0.30172,0.0086207,0.1,0.69397,0
0.28411,0.034483,0.67241,0.2931,0.025862,0.1,0.69397,0
0.28122,0.051724,0.65517,0.2931,0.043103,0.1,0.68534,0
0.28458,0.051724,0.65517,0.2931,0.043103,0.1,0.68534,0
0.29482,0.11207,0.30172,0.2931,0.39655,0.2,0.51989,0
0.30937,0.13793,0.2931,0.2931,0.40517,0.2,0.50431,0
0.32937,0.16379,0.28448,0.2931,0.41379,0.2,0.49319,0
0.36096,0.17241,0.28448,0.30172,0.40517,0.2,0.48362,0
0.39894,0.32759,0.28448,0.31034,0.39655,0.4,0.48662,0
0.43723,0.41379,0.27586,0.31034,0.40517,0.1,0.48707,0
0.47101,0.42241,0.26724,0.31034,0.41379,0.1,0.48276,0
0.49545,0.42241,0.26724,0.31034,0.41379,0.1,0.48276,0
0.51037,0.42241,0.26724,0.31034,0.41379,0.1,0.48276,0
0.51505,0.44828,0.25,0.30172,0.43966,0.1,0.47845,0
0.50687,0.4569,0.25,0.2931,0.44828,0.1,0.48276,0
0.4867,0.4569,0.25,0.2931,0.44828,0.1,0.48276,0
0.45444,0.4569,0.25,0.2931,0.44828,0.1,0.48276,0
0.4142,0.41379,0.26724,0.2931,0.43103,0.2,0.49353,0
0.37096,0.18103,0.2931,0.2931,0.40517,0.2,0.52094,0
0.336,0.16379,0.2931,0.2931,0.40517,0.2,0.52405,0
0.32301,0.11207,0.30172,0.2931,0.39655,0.2,0.54244,0
0.31961,0.12069,0.2931,0.2931,0.40517,0.2,0.52525,0
0.32412,0.12931,0.28448,0.2931,0.41379,0.2,0.50977,0
0.32412,0.12069,0.28448,0.30172,0.40517,0.2,0.49569,0
0.3188,0.11207,0.28448,0.31034,0.39655,0.2,0.48011,0
